  # degauss     SUM_on_q_sapce 
 0.002000        1298.674391
 0.004000         592.823757
 0.006000         394.617273
 0.008000         304.750082
 0.010000         250.001461
 0.012000         211.608812
 0.014000         183.903834
 0.016000         162.446458
 0.018000         145.953412
 0.020000         132.589271
 0.022000         121.725304
 0.024000         112.865752
 0.026000         105.160241
 0.028000          98.582761
 0.030000          92.814988
 0.032000          87.727548
 0.034000          83.299090
 0.036000          79.248681
 0.038000          75.610580
 0.040000          72.270070
